label_id,label_name,glb_node,match_score,notes
86,Left MPrG precentral gyrus medial segment,Precentral gyrus.l,1.0,
116,Left PrG precentral gyrus,Precentral gyrus.l,1.0,
85,Right MPrG precentral gyrus medial segment,Precentral gyrus.r,1.0,
115,Right PrG precentral gyrus,Precentral gyrus.r,1.0,
102,Left PCu precuneus,Precuneus.l,1.0,
101,Right PCu precuneus,Precuneus.r,1.0,
28,Left Putamen,Putamen.l,1.0,
27,Right Putamen,Putamen.r,1.0,
64,Left GRe gyrus rectus,Straight gyrus (Gyrus rectus).l,1.0,
63,Right GRe gyrus rectus,Straight gyrus (Gyrus rectus).r,1.0,
88,Left MSFG superior frontal gyrus medial segment,Superior frontal gyrus.l,1.0,
122,Left SFG superior frontal gyrus,Superior frontal gyrus.l,1.0,
112,Left POrG posterior orbital gyrus,Superior frontal gyrus.l,0.68,
87,Right MSFG superior frontal gyrus medial segment,Superior frontal gyrus.r,1.0,
121,Right SFG superior frontal gyrus,Superior frontal gyrus.r,1.0,
111,Right POrG posterior orbital gyrus,Superior frontal gyrus.r,0.68,
128,Left SOG superior occipital gyrus,Superior occipital gyri.l,0.863,
127,Right SOG superior occipital gyrus,Superior occipital gyri.r,0.863,
130,Left SPL superior parietal lobule,Superior parietal lobule.l,0.923,
108,Left PO parietal operculum,Superior parietal lobule.l,0.667,
129,Right SPL superior parietal lobule,Superior parietal lobule.r,0.923,
107,Right PO parietal operculum,Superior parietal lobule.r,0.667,
126,Left SMG supramarginal gyrus,Supramarginal gyrus.l,1.0,
125,Right SMG supramarginal gyrus,Supramarginal gyrus.r,1.0,
134,Left TMP temporal pole,Temporal pole.l,1.0,
133,Right TMP temporal pole,Temporal pole.r,1.0,
30,Left Thalamus Proper,Thalamus.l,1.0,
29,Right Thalamus Proper,Thalamus.r,1.0,
1,3rd Ventricle,Third ventricle,0.857,
2,4th Ventricle,Third ventricle,0.857,
138,Left TTG transverse temporal gyrus,Transverse temporal gyri.l,0.868,
137,Right TTG transverse temporal gyrus,Transverse temporal gyri.r,0.868,
136,Left TrIFG triangular part of the inferior frontal gyrus,Triangular part of inferior frontal gyrus.l,0.891,
135,Right TrIFG triangular part of the inferior frontal gyrus,Triangular part of inferior frontal gyrus.r,0.891,
52,Left CO central operculum,Wing of central lobule.l,0.619,
51,Right CO central operculum,Wing of central lobule.r,0.619,
